model date.run aoa L D Mp Cl Cd Cm Re svl A rho v
Unspread 20090518A 0.000000e+00 -1.593225e-04 0.000000e+00 8.639414e-06 -Inf NaN Inf -0.000000e+00 1.458000e-01 1.261000e-02 1.204000e+00 -0.000000e+00
Unspread 20090518A 0.000000e+00 2.750086e-04 0.000000e+00 3.799424e-05 1.465053e+00 0.000000e+00 1.388249e+00 1.528470e+03 1.458000e-01 1.261000e-02 1.204000e+00 1.572500e-01
Unspread 20090518A 0.000000e+00 1.591897e-03 0.000000e+00 7.083551e-05 5.168025e-01 0.000000e+00 1.577259e-01 6.191640e+03 1.458000e-01 1.261000e-02 1.204000e+00 6.370000e-01
Unspread 20090518A 0.000000e+00 2.871106e-03 0.000000e+00 9.973158e-05 4.059364e-01 0.000000e+00 9.671281e-02 9.382230e+03 1.458000e-01 1.261000e-02 1.204000e+00 9.652500e-01
Unspread 20090518A 0.000000e+00 8.609909e-03 0.000000e+00 2.303963e-04 3.143463e-01 0.000000e+00 5.769363e-02 1.846314e+04 1.458000e-01 1.261000e-02 1.204000e+00 1.899500e+00
Unspread 20090518A 0.000000e+00 1.406355e-02 0.000000e+00 3.437730e-04 2.892578e-01 0.000000e+00 4.849580e-02 2.459889e+04 1.458000e-01 1.261000e-02 1.204000e+00 2.530750e+00
Unspread 20090518A 0.000000e+00 2.214026e-02 0.000000e+00 5.190345e-04 2.917074e-01 0.000000e+00 4.690330e-02 3.073464e+04 1.458000e-01 1.261000e-02 1.204000e+00 3.162000e+00
Unspread 20090518A 0.000000e+00 4.758971e-02 0.000000e+00 1.006931e-03 3.202382e-01 0.000000e+00 4.647317e-02 4.300614e+04 1.458000e-01 1.261000e-02 1.204000e+00 4.424500e+00
Unspread 20090518A 0.000000e+00 7.915390e-02 0.000000e+00 1.620998e-03 3.223994e-01 0.000000e+00 4.528423e-02 5.527764e+04 1.458000e-01 1.261000e-02 1.204000e+00 5.687000e+00
Unspread 20090518A 0.000000e+00 1.201179e-01 0.000000e+00 2.410159e-03 3.276340e-01 0.000000e+00 4.508888e-02 6.754914e+04 1.458000e-01 1.261000e-02 1.204000e+00 6.949500e+00
Unspread 20090518A 0.000000e+00 1.221211e-01 0.000000e+00 2.428785e-03 3.283091e-01 0.000000e+00 4.478410e-02 6.804000e+04 1.458000e-01 1.261000e-02 1.204000e+00 7.000000e+00
Unspread 20090518A 0.000000e+00 1.727188e-01 0.000000e+00 3.339974e-03 3.373884e-01 0.000000e+00 4.474826e-02 7.982064e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.212000e+00
Unspread 20090518A 0.000000e+00 2.337399e-01 0.000000e+00 4.407815e-03 3.430115e-01 0.000000e+00 4.436512e-02 9.209214e+04 1.458000e-01 1.261000e-02 1.204000e+00 9.474500e+00
Unspread 20090518A 0.000000e+00 3.036927e-01 0.000000e+00 5.604656e-03 3.470219e-01 0.000000e+00 4.392522e-02 1.043636e+05 1.458000e-01 1.261000e-02 1.204000e+00 1.073700e+01
Unspread 20090518A 0.000000e+00 3.798480e-01 0.000000e+00 6.916048e-03 3.475137e-01 0.000000e+00 4.339729e-02 1.166351e+05 1.458000e-01 1.261000e-02 1.204000e+00 1.199950e+01
Unspread 20090518B -3.000000e+01 -2.981534e-01 1.528939e-01 -1.092484e-03 -6.136887e-01 3.147014e-01 -1.542290e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -2.500000e+01 -2.784529e-01 1.124457e-01 -8.725106e-04 -5.731394e-01 2.314468e-01 -1.231747e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -2.000000e+01 -2.340322e-01 7.332386e-02 -4.730367e-04 -4.817083e-01 1.509224e-01 -6.677990e-03 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -1.500000e+01 -1.277786e-01 4.277414e-02 5.527109e-04 -2.630066e-01 8.804198e-02 7.802772e-03 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -1.400000e+01 -1.017046e-01 4.165620e-02 8.723679e-04 -2.093385e-01 8.574092e-02 1.231546e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -1.300000e+01 -7.679776e-02 3.723060e-02 1.122468e-03 -1.580727e-01 7.663170e-02 1.584619e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -1.200000e+01 -5.156578e-02 3.413793e-02 1.353219e-03 -1.061378e-01 7.026607e-02 1.910377e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -1.100000e+01 -2.659752e-02 3.300275e-02 1.595724e-03 -5.474565e-02 6.792953e-02 2.252728e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -1.000000e+01 -3.009034e-03 3.287115e-02 1.825870e-03 -6.193492e-03 6.765866e-02 2.577631e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -9.000000e+00 2.538649e-02 3.182632e-02 2.113187e-03 5.225298e-02 6.550808e-02 2.983245e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -8.000000e+00 4.822017e-02 3.119693e-02 2.262926e-03 9.925152e-02 6.421261e-02 3.194636e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -7.000000e+00 7.124131e-02 3.202598e-02 2.474092e-03 1.466359e-01 6.591905e-02 3.492744e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -6.000000e+00 1.124651e-01 3.442911e-02 2.796332e-03 2.314867e-01 7.086539e-02 3.947660e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -5.000000e+00 1.287347e-01 3.638356e-02 2.914188e-03 2.649745e-01 7.488824e-02 4.114039e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -4.000000e+00 1.572368e-01 4.091617e-02 3.081157e-03 3.236404e-01 8.421770e-02 4.349755e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -3.000000e+00 1.859747e-01 4.493655e-02 3.222698e-03 3.827914e-01 9.249285e-02 4.549571e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
Unspread 20090518B -2.000000e+00 2.002756e-01 5.083306e-02 3.227339e-03 4.122271e-01 1.046296e-01 4.556124e-02 7.776000e+04 1.458000e-01 1.261000e-02 1.204000e+00 8.000000e+00
